company,domain,country,region,sector,language,discovery_mechanism,discovery_provenance,entity_resolution_state,partner_motion_state,programme_ownership,programme_types,commercial_partner_motion,referral_state,lead_sharing_state,co_sell_state,deal_registration_state,partner_pipeline_state,partner_onboarding_state,partner_enablement_state,partner_tiers_state,partner_portal_state,partner_incentives_state,partner_attribution_state,partner_directory_state,programme_scale_state,programme_scale_claimed,programme_scale_noun,directory_entries_observed,informal_programme_signature,crm_state,crm_vendor,crm_evidence_strength,current_crm_evidence,historical_crm_evidence,crm_conflict,crm_latest_strong_evidence_date,crm_evidence_source,job_research_attempted,current_jobs_found,historical_jobs_found,jobs_inspected,non_partner_jobs_inspected,crm_job_mentions,crm_job_confirmations,linkedin_research_attempted,linkedin_accessible,linkedin_unique_evidence,partner_people_state,partner_people_observed,partner_roles,prm_state,prm_vendor,temporal_evidence,sources_inspected,queries_executed,pages_inspected,evidence_sufficiency,commercial_review_readiness,failure_stage,failure_reason,missing_critical_fields
,appian.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,reseller,confirmed,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,5,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|partner_people|programme_scale
,aprimo.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,technology|services|solution_partner|system_integrator,confirmed,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,8,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,archerirm.com,unknown,unknown,unknown,not_attempted,manual_seed,supplied by hand in an earlier phase,confirmed,established,direct,reseller|strategic_alliance,unknown,not_observed,not_observed,confirmed,confirmed,not_observed,not_observed,confirmed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_observed,,,0,not_attempted,unknown,,unknown,no,no,,,,yes,3,0,3,3,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,39,0,3,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,3 vacancies read and none named a CRM. The company does not publish it.,crm|partner_people|programme_scale
,arisglobal.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,unknown,direct,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,5,partial,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
,atomsenses.com,unknown,US/global,iot_hardware,en,search_query_family,query family ENGLISH_AUTHORIZED_RESELLER_HARDWARE,confirmed,established,direct,reseller|technology,confirmed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_observed,,,,not_attempted,unknown,,unknown,no,no,,,,yes,5,0,5,5,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,23,0,7,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,5 vacancies read and none named a CRM. The company does not publish it.,crm|deal_registration|partner_people|programme_scale
,attachmentwarehouse.eu,unknown,Nordics,manufacturing,sv,search_query_family,query family SWEDISH_RESELLER_OPERATOR,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,no,no,,,,yes,2,0,2,2,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,20,0,3,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,R1_PAGE_NOT_RETRIEVED,Pages were read but no partner surface was located.,partner_motion|crm|deal_registration|partner_people|programme_scale
,automationanywhere.com,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by cognizant.com,confirmed,established,direct,services|system_integrator|solution_partner,unknown,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,12,partial,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|partner_people|programme_scale
Avalara,avalara.com,unknown,unknown,unknown,not_attempted,prm_customer_harvest,named as a customer by mindmatrix.net (enterprise PRM),confirmed,established,direct,reseller|referral,strong_proxy,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,not_attempted,not_attempted,,,,formalised_programme,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,not_attempted,,not_attempted,0,0,0,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,,,crm|deal_registration|partner_people|programme_scale
,avast.com,unknown,Benelux,software,nl,search_query_family,query family DUTCH_VIA_ENGLISH_REACH,confirmed,established,direct,reseller|referral|distributor|msp,confirmed,not_observed,not_observed,not_observed,confirmed,not_observed,not_observed,not_observed,not_observed,confirmed,not_attempted,not_attempted,not_observed,not_observed,,,,not_attempted,unknown,,unknown,no,no,,,,yes,2,0,2,2,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,26,0,12,sufficient_for_review,SUFFICIENT_FOR_COMMERCIAL_REVIEW,P1_NOT_PUBLIC,2 vacancies read and none named a CRM. The company does not publish it.,crm|partner_people|programme_scale
,avature.net,unknown,unknown,unknown,not_attempted,counterparty_inversion,named as a vendor by deloitte.com,confirmed,unknown,unknown,,unknown,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_observed,not_attempted,not_attempted,confirmed,not_attempted,,,,not_attempted,unknown,,unknown,not_attempted,not_attempted,,,,not_attempted,0,0,0,0,0,0,not_attempted,not_attempted,not_attempted,not_attempted,0,,unknown,,not_attempted,0,0,9,under_observed,INSUFFICIENT_FOR_COMMERCIAL_REVIEW,,,partner_motion|crm|deal_registration|partner_people|programme_scale
